Gene	Target	IonCode_0101	IonCode_0102	IonCode_0103	IonCode_0104	IonCode_0105	IonCode_0106	IonCode_0107	IonCode_0125	IonCode_0126	IonCode_0127	IonCode_0128	IonCode_0129	IonCode_0130	IonCode_0131	"COSMIC_CGC_FLAG"	"NCBI_NAME"	"HGNC_SYMBOL_ACC"	"MIM_MORBID_DESCRIPTION"	"ENTREZ_GENE_ID"	"U133PLUS2_PSID"
AQP12B	AMPL5346732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aquaporin_12B	6096	.	653437	1554344_s_at,1559575_a_at
AQP2	AMPL6629955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aquaporin_2__collecting_duct	634	DIABETES_INSIPIDUS__NEPHROGENIC__AUTOSOMAL	359	206672_at,236630_at,240285_at
AQP3	AMPL30500813	3	6	2	2	6	3	5	5	3	5	0	9	1	4	0	aquaporin_3__Gill_blood_group	636	GIL_BLOOD_GROUP	360	203747_at,39248_at,39249_at
AQP4	AMPL8630112	1	0	0	0	0	0	2	0	0	0	1	3	0	1	0	aquaporin_4	637	.	361	210066_s_at,210067_at,210068_s_at,210906_x_at,226228_at
AQP5	AMPL11910797	1	2	1	0	2	0	1	1	3	1	3	0	0	1	0	aquaporin_5	638	.	362	213611_at
AQP6	AMPL10187328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aquaporin_6__kidney_specific	639	.	363	208435_s_at,216219_at
AQP7	AMPL6815843	4	0	4	2	3	1	1	3	0	0	0	0	0	4	0	aquaporin_7	640	GLYCEROL_QUANTITATIVE_TRAIT_LOCUS__GLYCQTL	100509620,101930168,364	206955_at
AQP7P1	AMPL20748416	5	1	4	3	1	2	4	7	1	1	2	5	1	5	0	aquaporin_7_pseudogene_1	32048	.	.	206955_at
AQP8	AMPL7787064	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	aquaporin_8	642	.	343	206784_at
AQP9	AMPL35331803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aquaporin_9	643	.	366	205568_at
AQPEP	AMPL16918060	2	2	2	1	3	5	2	1	1	0	0	4	0	1	0	Aminopeptidase_Q_Source_UniProtKB_Swiss-Prot_Acc_Q6Q4G3	.	.	206338	1565918_a_at,235382_at
AQR	AMPL24481543	300	304	288	347	334	332	468	279	286	159	227	268	336	590	0	aquarius_intron-binding_spliceosomal_factor	29513	.	9716	212583_at,212584_at,228694_at,239895_at
AR	AMPL1447304	199	169	187	212	139	222	313	195	214	93	106	137	163	358	0	androgen_receptor	644	ANDROGEN_INSENSITIVITY_SYNDROME__AIS,ANDROGEN_INSENSITIVITY__PARTIAL__PAIS,SPINAL_AND_BULBAR_MUSCULAR_ATROPHY__X-LINKED_1__SMAX1	367	211110_s_at,226192_at,226197_at
ARAF	AMPL11228407	339	341	352	378	389	320	404	264	246	222	189	350	242	304	0	v-raf_murine_sarcoma_3611_viral_oncogene_homolog	646	.	369	201895_at,230652_at
ARAP1	AMPL5750713	43	43	54	71	42	54	38	52	45	33	35	34	39	34	0	ArfGAP_with_RhoGAP_domain__ankyrin_repeat_and_PH_domain_1	16925	.	116985	212516_at,238911_at,34206_at
ARAP2	AMPL24441283	0	0	0	0	0	3	2	1	0	0	0	1	1	1	0	ArfGAP_with_RhoGAP_domain__ankyrin_repeat_and_PH_domain_2	16924	.	101928667,116984	1561407_at,213618_at,242402_x_at
ARAP3	AMPL35626501	157	119	116	130	75	151	157	102	97	61	63	47	133	184	0	ArfGAP_with_RhoGAP_domain__ankyrin_repeat_and_PH_domain_3	24097	.	64411	218950_at,235806_at
ARC	AMPL25553294	0	3	0	4	3	0	3	0	0	0	1	2	2	3	0	activity-regulated_cytoskeleton-associated_protein	648	.	23237	210090_at
ARCN1	AMPL9660063	2150	2247	2350	2703	2003	2838	3295	2429	2113	1268	1676	1617	2615	4264	0	archain_1	649	.	372	201176_s_at
AREG	AMPL10019040	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	amphiregulin	651	.	374,727738	205239_at
ARF1	AMPL2170137	3445	3675	3642	4242	4082	4618	5053	3474	3123	2289	2419	3210	4128	5619	0	ADP-ribosylation_factor_1	652	.	100500810,375	200065_s_at,208750_s_at,244504_x_at
ARF3	AMPL8799459	939	946	964	1046	1063	1163	1356	976	1029	750	588	956	1117	1456	0	ADP-ribosylation_factor_3	654	.	377	1558766_at,200011_s_at,200734_s_at,211622_s_at,236303_at
ARF4	AMPL9658366	1304	1214	1462	1670	1111	1784	1805	1466	1146	516	895	1124	1536	2318	0	ADP-ribosylation_factor_4	655	.	378	201096_s_at,201097_s_at
ARF5	AMPL8457203	1023	1204	1058	1157	1321	1235	1285	1086	992	512	623	1050	1187	1443	0	ADP-ribosylation_factor_5	658	.	381	201526_at
ARF6	AMPL11094387	12	8	7	7	6	5	7	4	5	7	1	8	5	5	0	ADP-ribosylation_factor_6	659	.	382	203311_s_at,203312_x_at
ARFGAP1	AMPL16820874	264	258	284	312	263	255	287	245	251	139	162	226	241	317	0	ADP-ribosylation_factor_GTPase_activating_protein_1	15852	.	55738	217888_s_at,234001_s_at
ARFGAP2	AMPL14810875	502	405	328	371	450	321	410	332	433	225	215	333	288	399	0	ADP-ribosylation_factor_GTPase_activating_protein_2	13504	.	84364	211975_at,235734_at
ARFGAP3	AMPL25927686	160	211	207	206	212	236	243	205	186	125	110	149	226	290	0	ADP-ribosylation_factor_GTPase_activating_protein_3	661	.	26286	202211_at
ARFGEF1	AMPL26851562	148	138	159	158	169	165	191	153	168	78	113	158	160	231	0	ADP-ribosylation_factor_guanine_nucleotide-exchange_factor_1__brefeldin_A-inhibited	15772	.	10565	202955_s_at,202956_at,216266_s_at,243220_at
ARFGEF2	AMPL27028369	84	75	77	90	75	84	138	69	88	63	56	60	71	144	0	ADP-ribosylation_factor_guanine_nucleotide-exchange_factor_2__brefeldin_A-inhibited	15853	PERIVENTRICULAR_HETEROTOPIA_WITH_MICROCEPHALY__AUTOSOMAL_RECESSIVE_	10564	215931_s_at,218098_at,222518_at
ARFIP1	AMPL301805	15	13	16	14	12	24	23	19	20	12	8	19	16	32	0	ADP-ribosylation_factor_interacting_protein_1	21496	.	27236	214483_s_at,218230_at
ARFIP2	AMPL7454420	204	152	182	170	185	196	260	170	171	93	116	160	217	247	0	ADP-ribosylation_factor_interacting_protein_2	17160	.	23647	202109_at
ARFRP1	AMPL7935385	95	95	82	116	116	88	124	96	93	74	55	93	120	174	0	ADP-ribosylation_factor_related_protein_1	662	.	10139	203174_s_at,215984_s_at
ARG1	AMPL5980666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	arginase_1	663	ARGININEMIA	383	206177_s_at
ARG2	AMPL6703028	14	17	16	18	48	22	21	28	21	17	14	29	16	25	0	arginase_2	664	.	384	203945_at,203946_s_at
ARGFX	AMPL323867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	arginine-fifty_homeobox	30146	.	503582	.
ARGLU1	AMPL31888154	350	310	344	371	358	452	324	419	306	171	193	465	396	449	0	arginine_and_glutamate_rich_1	25482	.	55082	218067_s_at,222508_s_at,227448_at
ARHGAP1	AMPL27121323	337	341	344	427	316	382	460	327	311	191	264	273	380	563	0	Rho_GTPase_activating_protein_1	673	.	392	202117_at,216689_x_at,241419_at
ARHGAP10	AMPL14748157	8	2	5	10	2	4	7	7	4	4	6	3	5	5	0	Rho_GTPase_activating_protein_10	26099	.	79658	219431_at
ARHGAP11A	AMPL24399296	391	391	356	475	383	395	515	362	346	289	249	349	365	525	0	Rho_GTPase_activating_protein_11A	15783	.	9824	204492_at
ARHGAP11B	AMPL3076805	53	30	49	39	31	45	70	50	33	18	32	44	40	68	0	Rho_GTPase_activating_protein_11B	15782	.	100288637,89839	1558750_a_at
ARHGAP12	AMPL31765426	54	42	40	41	34	41	42	38	39	35	25	64	47	48	0	Rho_GTPase_activating_protein_12	16348	.	94134	207606_s_at,243216_x_at
ARHGAP15	AMPL32061520	8	4	2	3	2	6	4	4	4	1	0	3	9	4	0	Rho_GTPase_activating_protein_15	21030	.	101928361,55843	1561489_at,218870_at
ARHGAP17	AMPL1921317	319	390	323	401	480	432	537	336	335	196	190	363	436	652	0	Rho_GTPase_activating_protein_17	18239	.	55114	218076_s_at
ARHGAP18	AMPL17996718	13	11	5	7	14	10	15	10	11	1	4	27	11	22	0	Rho_GTPase_activating_protein_18	21035	.	93663	225166_at,225171_at,225173_at
ARHGAP19	AMPL16772156	196	148	137	168	157	154	220	158	118	92	71	180	152	186	0	Rho_GTPase_activating_protein_19	23724	.	84986	212738_at,37577_at
ARHGAP20	AMPL35244475	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	Rho_GTPase_activating_protein_20	18357	.	57569	1555020_a_at,228368_at
ARHGAP21	AMPL35241056	243	242	301	301	268	286	442	282	293	167	181	286	248	478	0	Rho_GTPase_activating_protein_21	23725	.	57584	224764_at,241701_at
ARHGAP22	AMPL35775372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rho_GTPase_activating_protein_22	30320	.	58504	1560821_at,206298_at
ARHGAP23	AMPL8055376	189	173	203	303	54	182	221	194	158	150	166	48	151	190	0	Rho_GTPase_activating_protein_23	29293	.	57636	226638_at,230013_s_at,231903_x_at
ARHGAP24	AMPL2410067	3	0	5	6	4	1	1	2	6	2	0	3	1	3	0	Rho_GTPase_activating_protein_24	25361	.	83478	221030_s_at,223422_s_at,230802_at,230803_s_at
ARHGAP25	AMPL231929	0	2	6	3	15	6	8	8	3	2	1	8	3	4	0	Rho_GTPase_activating_protein_25	28951	.	9938	1555076_at,204882_at,38149_at
ARHGAP26	AMPL25194546	7	1	1	3	2	2	5	3	0	0	2	0	2	4	0	Rho_GTPase_activating_protein_26	17073	JUVENILE_MYELOMONOCYTIC_LEUKEMIA__JMML	23092	205068_s_at,205069_s_at,215955_x_at,226576_at
ARHGAP27	AMPL21665258	2	1	6	2	2	0	6	1	1	0	1	1	4	4	0	Rho_GTPase_activating_protein_27	31813	.	201176	1554594_at,225618_at,227057_at
ARHGAP28	AMPL520314	64	58	50	81	34	71	76	60	49	41	37	21	56	64	0	Rho_GTPase_activating_protein_28	25509	.	79822	220381_at,220382_s_at,227911_at
ARHGAP29	AMPL28005459	79	91	103	87	20	90	146	75	68	55	60	19	58	163	0	Rho_GTPase_activating_protein_29	30207	.	9411	1554736_at,1560318_at,203910_at
ARHGAP30	AMPL101118	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Rho_GTPase_activating_protein_30	27414	.	257106	226219_at,241346_at
ARHGAP31	AMPL30643856	26	22	16	24	13	20	33	24	31	15	16	5	21	23	0	Rho_GTPase_activating_protein_31	29216	ADAMS-OLIVER_SYNDROME_1__AOS1	57514	226056_at,226057_at
ARHGAP32	AMPL1697744	86	78	64	69	84	57	93	67	66	55	58	70	62	92	0	Rho_GTPase_activating_protein_32	17399	.	9743	203431_s_at,210791_s_at,229648_at,242196_at
ARHGAP33	AMPL17251222	305	307	313	341	449	321	385	273	277	194	162	334	286	318	0	Rho_GTPase_activating_protein_33	23085	.	115703	213827_at,215256_x_at,233885_at
ARHGAP35	AMPL27233098	697	638	593	631	793	708	799	537	631	408	365	657	598	822	0	Rho_GTPase_activating_protein_35	4591	.	2909	202044_at,202045_s_at,202046_s_at,229394_s_at
ARHGAP36	AMPL34363299	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Rho_GTPase_activating_protein_36	26388	.	158763	238047_at
ARHGAP39	AMPL15536636	0	1	3	5	0	2	4	2	2	2	2	3	2	8	0	Rho_GTPase_activating_protein_39	29351	.	80728	227876_at
ARHGAP4	AMPL11720513	0	1	0	3	3	4	3	1	0	0	2	1	0	1	0	Rho_GTPase_activating_protein_4	674	.	393	204425_at
ARHGAP40	AMPL9248970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rho_GTPase_activating_protein_40	16226	.	343578	.
ARHGAP42	AMPL36118106	83	48	92	87	62	95	99	70	73	54	47	46	94	79	0	Rho_GTPase_activating_protein_42	26545	.	143872	1553383_at,223595_at,230047_at
ARHGAP44	AMPL26560260	11	1	9	3	10	5	19	11	2	7	1	5	12	8	0	Rho_GTPase_activating_protein_44	29096	.	9912	205414_s_at,215232_at
ARHGAP5	AMPL961610	514	621	628	624	743	654	804	579	564	326	365	727	663	937	0	Rho_GTPase_activating_protein_5	675	.	394	1552627_a_at,217936_at,233849_s_at,235635_at
ARHGAP6	AMPL24850883	29	21	25	42	22	43	56	25	26	36	19	19	24	37	0	Rho_GTPase_activating_protein_6	676	.	395	206167_s_at,208085_s_at
ARHGAP9	AMPL14147499	6	8	14	9	3	6	6	4	7	5	9	1	8	8	0	Rho_GTPase_activating_protein_9	14130	.	64333	224451_x_at,226906_s_at,232543_x_at
ARHGDIA	AMPL27936319	6	7	5	10	5	8	11	5	3	4	3	3	4	8	0	Rho_GDP_dissociation_inhibitor__GDI__alpha	678	NEPHROTIC_SYNDROME__TYPE_8__NPHS8	396	201167_x_at,201168_x_at,211716_x_at,213606_s_at
ARHGDIB	AMPL9673655	0	0	1	4	1	0	1	1	1	0	0	0	1	0	0	Rho_GDP_dissociation_inhibitor__GDI__beta	679	.	397	1555812_a_at,201288_at
ARHGDIG	AMPL8742583	2	4	2	2	6	3	0	0	2	0	0	9	0	1	0	Rho_GDP_dissociation_inhibitor__GDI__gamma	680	.	398	206888_s_at,206889_at
ARHGEF1	AMPL21766308	40	38	39	34	25	26	40	33	34	23	22	18	39	59	0	Rho_guanine_nucleotide_exchange_factor__GEF__1	681	.	100505585,9138	1560445_x_at,203055_s_at
ARHGEF10	AMPL25228117	236	200	186	255	180	203	253	178	198	172	147	134	153	253	0	Rho_guanine_nucleotide_exchange_factor__GEF__10	14103	SLOWED_NERVE_CONDUCTION_VELOCITY__AUTOSOMAL_DOMINANT	9639	1554213_at,1554703_at,215139_at,216620_s_at
ARHGEF10L	AMPL34140019	126	138	144	128	186	201	191	148	155	82	80	165	146	214	0	Rho_guanine_nucleotide_exchange_factor__GEF__10-like	25540	.	55160	221656_s_at
ARHGEF11	AMPL21429644	132	105	147	149	120	149	205	141	95	57	82	133	131	230	0	Rho_guanine_nucleotide_exchange_factor__GEF__11	14580	.	9826	202913_at,202914_s_at
ARHGEF12	AMPL24187275	352	373	435	417	352	428	551	363	352	240	254	338	408	628	1	Rho_guanine_nucleotide_exchange_factor__GEF__12	14193	.	23365	1555498_at,1559833_at,201333_s_at,201334_s_at,201335_s_at,234129_at
ARHGEF15	AMPL18576231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rho_guanine_nucleotide_exchange_factor__GEF__15	15590	.	22899	205507_at,217348_x_at
ARHGEF16	AMPL25332281	36	44	49	41	41	31	44	33	33	24	25	41	39	39	0	Rho_guanine_nucleotide_exchange_factor__GEF__16	15515	.	27237	208009_s_at
ARHGEF17	AMPL24470202	383	411	407	497	464	557	563	422	373	290	265	361	445	593	0	Rho_guanine_nucleotide_exchange_factor__GEF__17	21726	.	9828	203756_at
ARHGEF18	AMPL4685240	265	270	278	303	312	303	379	243	317	190	202	322	305	357	0	Rho_Rac_guanine_nucleotide_exchange_factor__GEF__18	17090	.	23370	213039_at
ARHGEF19	AMPL16057904	31	29	47	32	21	49	39	22	21	15	17	23	28	21	0	Rho_guanine_nucleotide_exchange_factor__GEF__19	26604	.	128272	226857_at
ARHGEF2	AMPL6668309	171	172	141	165	157	157	209	156	158	103	67	132	155	171	0	Rho_Rac_guanine_nucleotide_exchange_factor__GEF__2	682	.	9181	1554783_s_at,207629_s_at,209435_s_at,235595_at
ARHGEF25	AMPL2824166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rho_guanine_nucleotide_exchange_factor__GEF__25	30275	.	115557	227427_at
ARHGEF3	AMPL2373619	1	5	8	7	16	4	8	5	7	5	2	8	7	8	0	Rho_guanine_nucleotide_exchange_factor__GEF__3	683	.	50650	218501_at
ARHGEF33	AMPL1865299	0	0	0	0	0	1	0	1	0	0	0	2	1	3	0	Rho_guanine_nucleotide_exchange_factor__GEF__33	37252	.	100271715	.
ARHGEF35	AMPL3277331	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Rho_guanine_nucleotide_exchange_factor__GEF__35	33846	.	445328	.
ARHGEF37	AMPL5227034	5	9	8	8	3	13	12	10	10	5	14	4	7	12	0	Rho_guanine_nucleotide_exchange_factor__GEF__37	34430	.	389337	227717_at,241380_at
ARHGEF38	AMPL7283252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rho_guanine_nucleotide_exchange_factor__GEF__38	25968	.	54848	221119_at
ARHGEF40	AMPL30635421	376	292	307	356	332	348	389	279	274	309	175	281	279	351	0	Rho_guanine_nucleotide_exchange_factor__GEF__40	25516	.	55701	220326_s_at,227855_at,228511_s_at,241627_x_at,58780_s_at
ARHGEF5	AMPL27015853	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	Rho_guanine_nucleotide_exchange_factor__GEF__5	13209	.	7984	204765_at
ARHGEF6	AMPL27884421	12	10	4	5	26	5	9	8	7	2	0	54	5	13	0	Rac_Cdc42_guanine_nucleotide_exchange_factor__GEF__6	685	MENTAL_RETARDATION__X-LINKED_46__MRX46	9459	209539_at
ARHGEF7	AMPL2421631	158	149	144	163	179	172	227	126	122	120	74	174	174	196	0	Rho_guanine_nucleotide_exchange_factor__GEF__7	15607	.	8874	202547_s_at,202548_s_at,229642_at,242999_at
ARHGEF9	AMPL10514676	193	161	167	151	214	178	221	149	155	85	100	204	159	210	0	Cdc42_guanine_nucleotide_exchange_factor__GEF__9	14561	EPILEPTIC_ENCEPHALOPATHY__EARLY_INFANTILE__8__EIEE8	23229	203263_s_at,203264_s_at
ARID1A	AMPL28474827	534	508	461	530	670	548	807	452	514	242	339	508	476	837	1	AT_rich_interactive_domain_1A__SWI-like	11110	MENTAL_RETARDATION__AUTOSOMAL_DOMINANT_14__MRD14	8289	207591_s_at,210649_s_at,212152_x_at,218917_s_at
ARID1B	AMPL32564113	327	404	358	377	420	441	610	321	343	153	283	401	414	736	0	AT_rich_interactive_domain_1B__SWI1-like	18040	MENTAL_RETARDATION__AUTOSOMAL_DOMINANT_12__MRD12	57492	1566991_at,225181_at,225184_at,238043_at
ARID2	AMPL34284744	235	244	229	268	327	338	405	218	253	159	141	271	266	417	1	AT_rich_interactive_domain_2__ARID__RFX-like	18037	.	196528	1553349_at,225486_at,225490_at
ARID3A	AMPL29144110	736	531	605	732	382	749	673	585	585	444	511	343	565	687	0	AT_rich_interactive_domain_3A__BRIGHT-like	3031	.	1820	205865_at,228008_at
ARID3B	AMPL29599317	456	449	426	544	378	598	656	524	324	230	337	330	471	676	0	AT_rich_interactive_domain_3B__BRIGHT-like	14350	.	10620	218964_at
ARID3C	AMPL2189822	0	0	0	1	0	0	1	1	2	0	1	1	5	1	0	AT_rich_interactive_domain_3C__BRIGHT-like	21209	.	138715	.
ARID4A	AMPL9822933	88	80	109	94	119	114	136	87	72	40	51	115	104	147	0	AT_rich_interactive_domain_4A__RBP1-like	9885	.	5926	205062_x_at,230141_at
ARID4B	AMPL33406651	119	96	95	98	120	120	162	82	106	83	57	131	124	141	0	AT_rich_interactive_domain_4B__RBP1-like	15550	.	51742	212591_at,214943_s_at,221230_s_at,223111_x_at,224322_at
ARID5A	AMPL21114631	1	3	6	0	2	2	5	4	5	0	0	4	2	3	0	AT_rich_interactive_domain_5A__MRF1-like	17361	.	10865	213138_at
ARID5B	AMPL14260182	20	23	27	16	36	23	29	9	27	12	12	34	19	34	0	AT_rich_interactive_domain_5B__MRF1-like	17362	LEUKEMIA__ACUTE_LYMPHOBLASTIC__ALL	84159	1558000_at,1558001_s_at,212614_at,235404_at
ARIH1	AMPL27245002	125	126	140	145	125	194	191	156	109	87	92	144	151	187	0	ariadne_RBR_E3_ubiquitin_protein_ligase_1	689	.	25820	201878_at,201879_at,201880_at,201881_s_at,241658_at
ARIH2	AMPL27307860	584	547	520	605	549	622	653	515	507	372	333	466	686	869	0	ariadne_RBR_E3_ubiquitin_protein_ligase_2	690	.	10425	201228_s_at,201229_s_at,201230_s_at,216008_s_at,227932_at
ARL1	AMPL6699616	513	608	597	670	505	672	840	544	596	335	357	542	728	1080	0	ADP-ribosylation_factor-like_1	692	.	400	201657_at,201658_at,201659_s_at
ARL10	AMPL17770462	134	117	115	113	125	141	161	109	107	59	63	124	154	173	0	ADP-ribosylation_factor-like_10	22042	.	285598	1553207_at,209328_x_at,209329_x_at,228843_at,239581_at
ARL11	AMPL34675105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADP-ribosylation_factor-like_11	24046	LEUKEMIA__CHRONIC_LYMPHOCYTIC__CLL	115761	1552691_at,1552693_at
ARL13A	AMPL6828215	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	ADP-ribosylation_factor-like_13A	31709	.	392509	.
ARL13B	AMPL7306663	86	90	109	109	95	83	123	77	75	51	73	86	90	96	0	ADP-ribosylation_factor-like_13B	25419	JOUBERT_SYNDROME_8__JBTS8	200894	228201_at
ARL14	AMPL13905568	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	ADP-ribosylation_factor-like_14	22974	.	80117	220468_at
ARL15	AMPL32044440	81	63	55	46	46	60	54	60	51	27	24	57	59	81	0	ADP-ribosylation_factor-like_15	25945	.	54622	219842_at,228151_at
ARL16	AMPL2906470	574	529	646	682	462	688	681	616	523	405	394	456	563	734	0	ADP-ribosylation_factor-like_16	27902	.	339231	234972_at
ARL17A	AMPL5522145	95	115	107	131	142	124	136	100	101	48	49	119	108	149	0	ADP-ribosylation_factor-like_17A	24096	.	100294341,100506084,51326	1554245_x_at,1555964_at,210718_s_at,243899_at
ARL2	AMPL8281912	233	239	219	237	267	237	194	212	201	163	123	226	216	213	0	ADP-ribosylation_factor-like_2	693	.	402	202564_x_at
ARL2BP	AMPL12169853	873	808	844	896	674	1025	1252	779	680	483	516	686	876	1244	0	ADP-ribosylation_factor-like_2_binding_protein	17146	.	23568	202092_s_at
ARL3	AMPL30334919	570	469	468	484	614	578	493	481	453	352	276	653	437	644	0	ADP-ribosylation_factor-like_3	694	.	403	202641_at,213433_at
ARL4A	AMPL21599164	78	63	77	63	94	85	83	80	59	57	47	94	70	94	0	ADP-ribosylation_factor-like_4A	695	.	10124	205020_s_at
ARL4C	AMPL28078998	114	133	134	134	178	147	107	116	111	88	71	207	104	107	0	ADP-ribosylation_factor-like_4C	698	.	10123	202206_at,202207_at,202208_s_at
ARL4D	AMPL10359223	14	17	10	19	9	14	6	18	18	12	10	15	11	5	0	ADP-ribosylation_factor-like_4D	656	.	379	203586_s_at
ARL5A	AMPL12999048	425	446	419	454	356	411	510	434	477	259	302	326	381	520	0	ADP-ribosylation_factor-like_5A	696	.	101929356,26225	218150_at,226617_at,236350_at,236466_at,238431_at,243176_at
ARL5B	AMPL17187296	868	821	860	891	776	854	1083	899	690	514	548	743	763	1120	0	ADP-ribosylation_factor-like_5B	23052	.	221079	226345_at,242727_at
ARL5C	AMPL4623129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADP-ribosylation_factor-like_5C	31111	.	390790	1560136_at
ARL6	AMPL16389715	3	3	3	2	2	1	6	4	3	2	2	0	1	4	0	ADP-ribosylation_factor-like_6	13210	BARDET-BIEDL_SYNDROME__BBS,RETINITIS_PIGMENTOSA_55__RP55	84100	223735_at,235320_at
ARL6IP1	AMPL26302776	693	637	636	695	844	715	829	768	627	379	400	897	725	1002	0	ADP-ribosylation_factor-like_6_interacting_protein_1	697	.	23204	211935_at
ARL6IP4	AMPL31843718	345	293	293	314	257	318	313	334	300	256	139	271	310	238	0	ADP-ribosylation-like_factor_6_interacting_protein_4	18076	.	51329	218216_x_at,220597_s_at
ARL6IP5	AMPL28212035	352	375	358	346	425	411	304	363	374	208	192	393	367	366	0	ADP-ribosylation-like_factor_6_interacting_protein_5	16937	.	10550	200760_s_at,200761_s_at
ARL6IP6	AMPL34947858	429	433	401	441	438	565	557	455	396	222	253	355	534	711	0	ADP-ribosylation-like_factor_6_interacting_protein_6	24048	.	151188	225707_at,225709_at,225711_at
ARL8A	AMPL35666655	209	255	273	300	250	278	286	260	268	179	184	243	328	384	0	ADP-ribosylation_factor-like_8A	25192	.	127829	225347_at
ARL8B	AMPL31663942	447	437	454	450	374	502	506	449	380	250	272	342	468	694	0	ADP-ribosylation_factor-like_8B	25564	.	55207	217852_s_at,222442_s_at
ARL9	AMPL21658573	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	ADP-ribosylation_factor-like_9	23592	.	132946	229062_at
ARMC1	AMPL33276668	217	210	218	207	240	289	364	217	188	87	119	236	246	351	0	armadillo_repeat_containing_1	17684	.	55156	218185_s_at,222550_at
ARMC10	AMPL6829494	236	180	164	184	183	228	211	159	173	145	90	208	184	184	0	armadillo_repeat_containing_10	21706	.	83787	1554480_a_at,223328_at
ARMC12	AMPL34557040	11	7	11	11	10	12	5	8	7	4	7	7	7	13	0	armadillo_repeat_containing_12	21099	.	221481	231263_at
ARMC2	AMPL15191221	3	3	2	3	2	2	7	2	4	1	1	2	0	2	0	armadillo_repeat_containing_2	23045	.	84071	223866_at
ARMC3	AMPL16032656	1	2	1	0	6	1	3	4	1	0	0	8	2	0	0	armadillo_repeat_containing_3	30964	.	219681	240275_at
ARMC4	AMPL32654015	43	26	23	58	50	53	82	41	23	15	33	43	40	87	0	armadillo_repeat_containing_4	25583	.	55130	221077_at,223794_at
ARMC5	AMPL1847634	91	101	62	88	81	79	88	92	78	73	52	66	62	72	0	armadillo_repeat_containing_5	25781	.	79798	227738_s_at
ARMC6	AMPL17047893	403	293	310	394	242	313	351	384	231	136	189	202	261	281	0	armadillo_repeat_containing_6	25049	.	93436	221758_at
ARMC7	AMPL15503578	78	87	67	63	103	101	109	77	57	42	33	81	97	109	0	armadillo_repeat_containing_7	26168	.	79637	219096_at,229906_at
ARMC8	AMPL26368799	242	248	223	308	295	240	317	211	217	170	148	223	278	428	0	armadillo_repeat_containing_8	24999	.	25852	1555279_at,1555281_x_at,203486_s_at,203487_s_at,219094_at
ARMC9	AMPL14620103	166	167	174	162	199	221	225	171	160	84	94	150	148	265	0	armadillo_repeat_containing_9	20730	.	80210	219636_s_at,219637_at,220754_at,235938_at,240639_at
ARMCX1	AMPL30572095	73	106	102	130	106	124	108	94	75	40	80	80	94	144	0	armadillo_repeat_containing__X-linked_1	18073	.	51309	218694_at
ARMCX2	AMPL25060657	245	242	231	237	226	219	224	185	236	178	127	188	201	193	0	armadillo_repeat_containing__X-linked_2	16869	.	9823	203404_at
ARMCX3	AMPL15636455	109	97	106	121	104	82	108	91	82	95	67	104	72	81	0	armadillo_repeat_containing__X-linked_3	24065	.	51566	217858_s_at,222444_at,240169_at
ARMCX4	AMPL19442349	0	0	0	0	1	1	2	0	0	1	0	2	3	4	0	armadillo_repeat_containing__X-linked_4	28615	.	100131755	1552327_at,1557726_at,1564399_a_at,207799_x_at,227444_at
ARMCX5	AMPL37262862	203	171	189	235	122	231	201	186	168	113	127	74	160	257	0	armadillo_repeat_containing__X-linked_5	25772	.	64860	219335_at
ARMCX6	AMPL1879620	84	56	81	82	99	112	119	72	54	43	43	92	97	87	0	armadillo_repeat_containing__X-linked_6	26094	.	54470	214749_s_at
ARMS2	AMPL5488259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	age-related_maculopathy_susceptibility_2	32685	MACULAR_DEGENERATION__AGE-RELATED__8__ARMD8	387715	.
ARNT	AMPL10772887	170	175	174	176	204	242	234	167	175	98	105	206	193	246	1	aryl_hydrocarbon_receptor_nuclear_translocator	700	.	405	210828_s_at,218221_at,218222_x_at,230619_at
